Id,Date,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,SedentaryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance
1503960366,4/12/2016,728,328,13,25,0,6.059999943,0.5500000119,1.879999995
1503960366,4/13/2016,776,217,19,21,0,4.710000038,0.6899999976,1.570000052
1503960366,4/14/2016,1218,181,11,30,0,3.910000086,0.400000006,2.440000057
1503960366,4/15/2016,726,209,34,29,0,2.829999924,1.25999999,2.140000105
1503960366,4/16/2016,773,221,10,36,0,5.039999962,0.4099999964,2.710000038
1503960366,4/17/2016,539,164,20,38,0,2.50999999,0.7799999714,3.190000057
1503960366,4/18/2016,1149,233,16,42,0,4.710000038,0.6399999857,3.25
1503960366,4/19/2016,775,264,31,50,0,5.03000021,1.320000052,3.529999971
1503960366,4/20/2016,818,205,12,28,0,4.239999771,0.4799999893,1.960000038
1503960366,4/21/2016,838,211,8,19,0,4.650000095,0.349999994,1.340000033
1503960366,4/22/2016,1217,130,27,66,0,2.24000001,1.120000005,4.760000229
1503960366,4/23/2016,732,262,21,41,0,5.360000134,0.8700000048,2.809999943
1503960366,4/24/2016,709,238,5,39,0,3.279999971,0.2099999934,2.920000076
1503960366,4/25/2016,814,216,14,73,0,3.940000057,0.5699999928,5.289999962
1503960366,4/26/2016,833,279,23,31,0,5.539999962,0.9200000167,2.329999924
1503960366,4/27/2016,1108,243,11,78,0,5.409999847,0.4099999964,6.400000095
1503960366,4/28/2016,782,189,28,48,0,3.789999962,1.159999967,3.539999962
1503960366,4/29/2016,815,243,12,16,0,5.579999924,0.5,1.059999943
1503960366,4/30/2016,712,217,34,52,0,4.269999981,1.419999957,3.559999943
1503960366,5/1/2016,730,246,35,33,0,2.920000076,1.600000024,2.289999962
1503960366,5/2/2016,798,277,15,41,0,5.920000076,0.5699999928,3.210000038
1503960366,5/3/2016,816,254,24,50,0,4.880000114,1.049999952,3.730000019
1503960366,5/4/2016,1179,203,22,36,0,3.819999933,0.8700000048,2.460000038
1503960366,5/5/2016,857,250,24,45,0,4.880000114,1.080000043,2.920000076
1503960366,5/6/2016,754,289,6,24,0,5.809999943,0.25,1.970000029
1503960366,5/7/2016,833,175,46,37,0,3.130000114,2.119999886,2.460000038
1503960366,5/8/2016,574,203,8,44,0,2.730000019,0.3199999928,3.529999971
1503960366,5/9/2016,835,206,11,46,0,3.74000001,0.5299999714,3.450000048
1503960366,5/10/2016,746,214,31,46,0,3.25999999,1.159999967,3.349999905
1503960366,5/11/2016,669,251,23,36,0,4.550000191,1.00999999,2.559999943
1503960366,5/12/2016,1440,0,0,0,0,0,0,0
1624580081,4/12/2016,1294,146,0,0,0,5.309999943,0,0
1624580081,4/13/2016,1292,148,0,0,0,4.550000191,0,0
1624580081,4/14/2016,1204,236,0,0,0.009999999776,5.909999847,0,0
1624580081,4/15/2016,1344,96,0,0,0,0.9700000286,0,0
1624580081,4/16/2016,1264,176,0,0,0,3.49000001,0,0
1624580081,4/17/2016,1276,127,22,15,0.009999999776,1.49000001,1.519999981,1.029999971
1624580081,4/18/2016,1214,202,7,17,0.009999999776,4.619999886,0.6200000048,2.150000095
1624580081,4/19/2016,1299,141,0,0,0,1.899999976,0,0
1624580081,4/20/2016,1289,151,0,0,0,3.230000019,0,0
1624580081,4/21/2016,1254,186,0,0,0.01999999955,4.110000134,0,0
1624580081,4/22/2016,1241,199,0,0,0,2.599999905,0,0
1624580081,4/23/2016,1213,227,0,0,0.009999999776,5.539999962,0,0
1624580081,4/24/2016,1221,185,18,16,0,1.889999986,0.9100000262,1.149999976
1624580081,4/25/2016,1238,202,0,0,0.01999999955,4.199999809,0,0
1624580081,4/26/2016,1300,140,0,0,0.009999999776,1.830000043,0,0
1624580081,4/27/2016,1233,154,36,17,0,2.460000038,1.870000005,1.110000014
1624580081,4/28/2016,1320,115,5,0,0,1.600000024,0.200000003,0
1624580081,4/29/2016,1290,150,0,0,0,1.549999952,0,0
1624580081,4/30/2016,1182,224,23,11,0.009999999776,2.119999886,1.279999971,0.8999999762
1624580081,5/1/2016,1020,171,63,186,0.01999999955,1.909999967,4.190000057,21.92000008
1624580081,5/2/2016,1261,166,6,7,0,3.470000029,0.5899999738,0.8600000143
1624580081,5/3/2016,1344,96,0,0,0.01999999955,1.340000033,0,0
1624580081,5/4/2016,1322,118,0,0,0,1.419999957,0,0
1624580081,5/5/2016,1323,117,0,0,0.01999999955,1.580000043,0,0
1624580081,5/6/2016,1338,102,0,0,0.009999999776,1.120000005,0,0
1624580081,5/7/2016,1258,182,0,0,0,1.370000005,0,0
1624580081,5/8/2016,1288,152,0,0,0,2.220000029,0,0
1624580081,5/9/2016,1349,91,0,0,0,1.129999995,0,0
1624580081,5/10/2016,1301,139,0,0,0.009999999776,1.919999957,0,0
1624580081,5/11/2016,1328,112,0,0,0,2.039999962,0,0
1624580081,5/12/2016,890,107,0,0,0.009999999776,1.919999957,0,0
1644430081,4/12/2016,1131,256,51,2,0,5.329999924,2.299999952,0.1400000006
1644430081,4/13/2016,1259,135,16,30,0,2.640000105,0.8999999762,2.279999971
1644430081,4/14/2016,1125,252,58,5,0,5.099999905,2.559999943,0.3600000143
1644430081,4/15/2016,1263,170,4,3,0,3.450000048,0.150000006,0.2199999988
1644430081,4/16/2016,1135,212,42,51,0,5.090000153,1.879999995,4.099999905
1644430081,4/17/2016,1212,186,13,29,0,3.549999952,0.5699999928,2.25
1644430081,4/18/2016,1271,121,33,15,0,2.450000048,1.669999957,1.070000052
1644430081,4/19/2016,1099,278,58,5,0,5.300000191,2.529999971,0.3600000143
1644430081,4/20/2016,1315,125,0,0,0.009999999776,1.75999999,0,0
1644430081,4/21/2016,1402,38,0,0,0.009999999776,0.8799999952,0,0
1644430081,4/22/2016,1354,86,0,0,0.009999999776,2.660000086,0,0
